Country,CountryCode,Series,SeriesCode,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Spain,ESP,EU,Europe,1.701665383,1.854405506,1.707306393,1.554144753,1.719287707,1.671252177,1.727416364,1.737870265,1.782778391,1.645641954,1.683729462,1.82784556,1.903203914,1.977584367,1.945797761,1.949169811,2.000798735,2.024670316,2.056479239,2.114143181,2.004545348,2.001787001,2.053511679,2.064095128,2.105000335,2.086274545,2.071741475,2.070589519,2.027115439,1.970266869,1.997890504,1.875717744,1.822898309,1.749580848,1.649825441,1.586534649,1.638235439,1.679977471,1.720229507,1.769441419,1.615384872,1.662275807,1.655839611,1.631243728,1.649405028,1.663267235,1.63129797,1.708118219,1.800574673,1.813906991,1.834419293,1.853777682,1.874932515,1.840719737,1.804837265,1.847153108,1.903320244,1.91021857,1.857887075,1.824980997,1.666439447,1.537231142,1.481589648,1.413730699,1.395397392,1.458324551,1.474711232,1.486847697
South Korea,KOR,AS,Asia,..,..,..,0.280680577,0.284019606,0.28134903,0.277385751,0.292482726,0.297918936,0.287054064,0.265997794,0.277251158,0.264995094,0.281309653,0.286158782,0.285380043,0.310248949,0.315785865,0.335675431,0.358798842,0.354880007,0.397115963,0.426807557,0.48957361,0.568787916,0.641849843,0.668572937,0.697043514,0.728119566,0.734382219,0.676018528,0.71190875,0.768077675,0.843837194,0.888950601,0.905742829,1.04241992,1.156478301,1.258887361,1.338837927,1.309536789,1.456003511,1.529921743,1.637828265,1.790444456,1.940154597,2.041934696,1.94385932,1.677462289,1.795693067,1.8370624,1.851152668,1.945982058,1.951086518,1.958053755,1.936330615,1.889787954,1.879894634,1.793921983,1.771498187,1.763703642,1.672385365,1.621271815,1.596622631,1.606960211,1.664283972,1.676496197,1.661331605
Turkey,TUR,AS,Asia,1.125326099,1.286705085,1.264398444,1.335171216,1.193537207,1.202024788,1.16684549,1.37321589,1.495841618,1.382651106,1.246048587,1.233082907,1.243980321,1.294408595,1.250917272,1.212911851,1.334530605,1.322742291,1.346230757,1.326449683,1.289694465,1.267843024,1.307725991,1.29062112,1.424780484,1.508524582,1.583594095,1.483299996,1.354369013,1.289685186,1.242722656,1.369358986,1.371142271,1.40843285,1.430370516,1.470765023,1.512823314,1.611875224,1.559385955,1.491312464,1.387174463,1.317053344,1.336654218,1.426326761,1.294691534,1.329582191,1.409728334,1.448447462,1.417012608,1.304089278,1.337667934,1.279541018,1.237523949,1.168971966,1.230591276,1.25908918,1.357677529,1.389360818,1.413278307,1.387972037,1.46119381,1.544835112,1.590132726,1.650149153,1.754485326,1.908637035,1.898033314,1.978059371
Mexico,MEX,NA,North America,2.219724355,2.222549838,2.036002764,1.896978152,2.058112323,2.054444201,2.117157637,2.195100485,2.265904599,2.201768431,2.172818756,2.171135661,2.137875788,2.213524213,2.34920812,2.346337829,2.377224345,2.415078366,2.493531143,2.435358945,2.361509761,2.347952397,2.41300034,2.44346913,2.529334688,2.630937925,2.636492679,2.626119967,2.731275247,2.901199028,3.13030576,3.359126965,3.339267575,3.074664856,3.055365223,3.005176223,2.737961854,2.66451203,2.564070489,2.571982789,2.376639,2.443845852,2.480606617,2.694985961,2.745891769,2.130893144,2.073417553,2.169556723,2.312155135,2.295691766,2.337396518,2.293193898,2.210794111,2.140418922,2.158011415,2.129406586,2.08442861,2.021326246,1.982814745,1.931403892,1.917597309,1.946479496,1.969602001,2.001814685,2.058294995,2.034287472,2.04623893,2.01748534
Italy,ITA,EU,Europe,3.377087894,3.403742695,3.084299335,3.123756792,3.187325269,3.142785484,3.141268265,3.158390898,3.244272964,3.293304081,3.310472494,3.483587074,3.488760113,3.460119687,3.324597189,3.236370525,3.260114021,3.372568313,3.41096832,3.402923951,3.527844236,3.445212286,3.42778383,3.484191822,3.628680505,3.528748185,3.690775153,3.720170457,3.747382169,3.930103252,4.108887191,3.993641369,3.949472986,3.825663845,3.718888472,3.659394123,3.788077821,3.805356543,3.796199502,3.815341434,3.449027939,3.493796496,3.461349596,3.361041477,3.365708969,3.381410466,3.264817402,3.300383271,3.411067072,3.381616295,3.292467607,3.225950674,3.108866882,3.016769827,2.868320858,2.75668338,2.697708421,2.653239552,2.589402823,2.519687781,2.3371045,2.245921944,2.155013522,2.050423596,1.988211787,2.001491849,2.050007162,2.02688266
United Kingdom,GBR,EU,Europe,8.259054848,7.884827628,6.900033601,6.850710705,6.953384054,6.674944883,6.565100711,6.458639533,6.379280084,6.250585929,6.019726087,5.992570478,5.752813891,5.669389164,5.630258551,5.476535539,5.33587166,5.267249159,5.210200113,4.994711393,4.671373179,4.52265688,4.419324649,4.418556882,4.155071697,4.018234062,4.008669847,4.026258893,4.09133049,4.149455769,4.105510997,3.975209815,4.005054455,4.019780418,3.906705676,3.873465158,3.789583922,3.780748377,3.739099019,3.657077847,3.193435944,3.043007444,2.952700394,2.946293881,2.933698195,3.120180889,3.13240165,3.229794516,3.269747886,3.273436851,3.301210465,3.305025304,3.239043249,3.194940953,3.095265257,3.058649404,2.932793063,2.753998976,2.710025069,2.546492422,2.482959105,2.350540409,2.326859964,2.367257048,2.323518878,2.3863842,2.337471995,2.326905877
France,FRA,EU,Europe,5.141137341,5.013761225,4.52558906,4.439678329,4.588939316,4.461584723,4.513903615,4.598185925,4.66797467,4.540835024,4.514821104,4.59692873,4.656097476,4.696874505,4.687210398,4.649464316,4.677075204,4.736547553,4.691634768,4.725492706,4.56937696,4.614325263,4.603281146,4.612940157,4.69786357,4.609057503,4.593586286,4.588067824,4.566806675,4.572503787,4.562577079,4.417596179,4.430924584,4.279785403,4.061782714,3.895131372,3.987259684,3.924661153,3.941919415,3.945846756,3.523965323,3.477286047,3.442591389,3.338758538,3.303146984,3.236557246,3.131580235,3.215002995,3.354229544,3.386133752,3.402446082,3.427090205,3.363170602,3.169873284,3.057027568,3.060182299,2.959730465,2.909779571,2.801425262,2.750046838,2.626713526,2.534907489,2.450925663,2.425495289,2.367389189,2.409519038,2.390064671,2.383768736
Indonesia,IDN,AS,Asia,..,..,..,..,..,..,..,..,..,..,1.16941366,1.254964747,1.1609956,0.998851895,0.893283807,1.01617965,0.805615906,0.829705551,0.81957669,0.796430184,0.777707199,0.798074538,0.850559526,0.895916969,0.949954611,0.986269,1.015623845,1.063449062,1.090780325,1.120046803,1.204782765,1.292110055,1.321277106,1.391015392,1.407703456,1.389198689,1.378452485,1.367121721,1.352299994,1.445523481,1.421147133,1.52273659,1.579029191,1.636442774,1.706012659,1.787860456,1.8403562,1.817033319,1.45274865,1.412435273,1.296076301,1.305261276,1.297367327,1.272679788,1.31636889,1.327731053,1.385953007,1.452553801,1.656397095,1.852694269,2.012634002,2.280268625,2.325613421,2.364136029,2.399606223,2.413892489,2.469820762,2.51308836
Brazil,BRA,SA,South America,1.41589987,1.348901423,1.311164944,1.274869065,1.353344446,1.341969158,1.338518636,1.406714472,1.462961825,1.450484752,1.457327828,1.611097315,1.643715673,1.665556363,1.628913534,1.642889726,1.644295214,1.720610499,1.805924558,1.731212691,1.79763027,1.924790888,2.045415633,2.171821524,2.297031477,2.363664965,2.438085166,2.391546096,2.367438838,2.428418062,2.375913922,2.433430373,2.50078622,2.419110963,2.386151168,2.448687277,2.715808536,2.683674126,2.583184019,2.547133349,2.147686073,2.307040121,2.305841668,2.418212153,2.63884726,2.937706233,3.337664376,3.142098277,2.976214166,2.771750187,2.668514947,2.607019047,2.563534741,2.466900239,2.455650318,2.349426525,2.418407746,2.529251227,2.686069246,2.822440241,3.002574302,3.127338844,3.068512169,3.041238851,2.9532653,2.810161548,2.675091785,2.597693888
Russia,RUS,AS,Asia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.57405979,5.35267395,4.814260138,4.008678241,3.295807223,2.959430475,2.735184742,2.577684855,2.309025538,2.143421264,2.308773517,2.32048289,2.314468168,2.46227135,2.62833841,2.787335549,3.082409969,3.406367241,3.729463192,3.368741654,3.508769281,3.750911667,3.814673146,3.739642408,3.56643565,3.140638612,2.970575207,2.9216552
Germany,DEU,EU,Europe,5.620994439,5.754741493,5.521037197,5.653326662,6.010291618,6.327651632,6.558797555,6.681255403,6.789199288,6.977038305,7.018904247,7.086952869,6.963522162,6.75348743,6.794035024,6.762541538,6.626854305,6.335789667,6.372432018,6.446908047,6.166311843,6.061246738,6.015508245,5.931649245,5.853560916,5.765005585,5.773763947,5.741496126,5.649972703,5.678707243,5.625004344,5.438406129,5.339199637,5.237738462,5.071301472,4.949263665,5.180439019,5.171221479,5.206124653,5.242084826,4.884018081,5.072278671,5.1100244,5.02557843,5.06834623,5.045209959,4.842506911,4.858920511,4.962706731,4.982079973,4.824428774,4.798100591,4.67689614,4.614315095,4.482909846,4.350062741,4.188890474,4.163472778,4.067506337,3.845718137,3.702960786,3.650068372,3.521162284,3.483886107,3.507930679,3.474448102,3.509413746,3.508964304
Japan,JPN,AS,Asia,3.756112476,3.842554318,3.711396887,3.655088447,3.764725298,3.749851994,3.859546927,3.989212214,4.209147052,4.362070691,4.523815406,4.877655129,5.069386791,5.2082095,5.424368911,5.458965764,5.744256659,6.120365592,6.552275615,6.914464838,6.963561052,7.036486415,7.275289283,7.348508105,7.093771789,7.313619753,7.411033151,7.589949268,7.767417292,7.957824864,8.225243936,8.123000045,8.045944474,7.757780446,7.472021377,7.514447016,7.935876839,8.115791817,8.535850881,8.836401249,8.253131291,8.62306214,8.688444144,8.699642041,8.700301142,8.803219557,8.768692934,8.563281252,8.328878058,8.043637965,7.831485231,7.602691173,7.407539598,7.276892735,7.055759629,6.669815053,6.378894487,6.107227819,5.720242184,5.518376822,5.300526826,4.88140773,4.793243982,4.733461879,4.653532536,4.755861547,4.725241903,4.624998879
India,IND,AS,Asia,5.478279003,5.276230426,4.779542032,4.75600796,4.852045616,4.578115791,4.607396532,4.462463003,4.66695204,4.490015028,4.471992014,4.475894802,4.416060861,4.469292476,4.490556516,4.189006279,3.984011616,4.137275695,4.100988474,4.252399615,3.937935871,3.892084995,3.774560235,3.755999903,3.610788436,3.922224574,3.677782931,3.52956657,3.322556929,2.987498882,2.979498741,2.91729682,2.879530628,2.845835116,2.731030495,2.701661754,2.768622696,2.821725008,2.924014294,3.025519385,2.793827646,2.800966159,2.895270693,3.007823977,3.124938022,3.226390908,3.33294832,3.434917365,3.650551168,3.771771913,3.748868953,3.863083096,3.988162857,4.223372884,4.300346093,4.527355197,4.81446056,5.097588079,5.190943085,5.657903387,6.043048809,6.191906819,6.436133422,6.524077689,6.764418799,7.161069271,7.470433274,7.727559218
United States,USA,NA,North America,39.93717914,39.69405201,36.04472183,35.59522235,34.66445299,34.39762041,33.87277653,33.36297176,32.47577616,33.00557768,31.12091198,30.98219393,31.15271134,30.87152071,30.61623943,30.90347249,31.38159075,30.99391214,30.81538164,29.88568368,27.27264447,26.8792858,26.86064347,26.66069225,25.67548642,25.17320435,25.28377453,25.39581534,25.56054724,25.36297959,24.63634655,24.98509025,24.50275643,25.1143352,25.9489522,26.20023445,26.21486037,25.94173016,25.79017459,25.75968481,22.64000021,22.17089208,22.34744867,22.36746358,22.61352174,22.26881675,21.92480455,22.27241692,23.01847266,23.22174284,22.97001743,22.71193107,22.47153729,22.31416532,21.91160691,20.93642663,20.33116309,19.4759826,18.55015701,18.25313998,17.21377955,16.34425562,16.25001141,16.10022723,16.04841013,16.37234346,16.25078933,15.9755141
China,CHN,AS,Asia,..,..,8.867875765,9.439596602,8.438294853,8.67494464,8.751522775,8.677092992,8.3836914,7.336576624,6.401810209,5.393274088,5.617913757,5.965729409,6.348023548,6.641935074,6.56812795,6.564966261,6.057793787,6.269366321,6.425812085,6.558659638,6.282708049,6.298388144,6.342901437,6.535684417,6.065167059,6.070914649,6.508656099,6.587416296,6.669439952,6.597034658,7.13216862,7.519020892,8.10200768,8.76140259,8.797704209,8.802632732,8.817330802,8.382046635,7.170963391,7.440472931,7.900154454,8.627009601,8.70470723,8.852253542,8.980763693,8.811977212,8.854106826,9.168292112,9.364235067,9.949635112,10.55848917,10.80251158,11.1399756,11.54185945,11.84358009,11.98895529,12.1732363,13.44607212,14.30516706,14.75175348,14.93378761,15.2884979,15.79166092,16.0384097,16.2208537,16.51929523
Other Nations,OTH,GL,Global,21.96753915,22.41752836,20.24663175,20.14476839,20.9322397,21.44146109,21.50236322,21.60640443,21.87830097,22.77639633,24.62221037,24.73556555,24.52796722,24.47414203,24.33043116,24.22883957,23.94938408,23.84273273,23.93090744,24.34565592,27.87917326,28.25247818,28.24388036,28.13357601,29.06698572,28.91670071,29.08133689,29.00571272,28.48623198,28.32951215,28.45985707,28.51107186,28.59149903,28.51341812,28.16894351,27.63889518,26.51187389,26.47249386,26.21122952,26.17176563,28.26000206,27.81660885,27.49986307,27.17267059,27.06453156,27.31706635,27.55190043,27.50650778,27.20504699,27.23430047,27.64492948,27.6060643,27.74169134,28.0841098,28.53693691,29.46249322,29.73079429,30.2607828,31.07723029,30.50283124,30.65482805,31.18978789,31.26146721,31.21933881,30.82048198,29.97024715,29.8347568,29.72994954
